"","time","S","I","R","Date","A","Rm","total_infected"
"1",1,275563,151,9203,2020-09-01,151,9203,9354
"2",2,275543.305432927,159.818628082398,9213.87593899096,2020-09-02,153,9207,9373.69456707335
"3",3,275522.463185883,169.150307161695,9225.38650695516,2020-09-03,163,9211,9394.53681411685
"4",4,275500.405164619,179.025373863142,9237.56946151762,2020-09-04,165,9220,9416.59483538076
"5",5,275477.061421047,189.474977891766,9250.46360106098,2020-09-05,150,9241,9439.93857895274
"6",6,275452.357520891,200.532253582261,9264.11022552658,2020-09-06,154,9243,9464.64247910884
"7",7,275426.214606076,212.232288589109,9278.5531053351,2020-09-07,207,9252,9490.78539392421
"8",8,275398.549220667,224.612198864849,9293.83858046787,2020-09-08,295,9264,9518.45077933272
"9",9,275369.273263663,237.711147186226,9310.01558915113,2020-09-09,312,9271,9547.72673633735
"10",10,275338.293594402,251.570514863243,9327.13589073423,2020-09-10,333,9295,9578.70640559747
"11",11,275305.511746052,266.234025303138,9345.25422864498,2020-09-11,501,9309,9611.48825394812
"12",12,275270.823639376,281.74786680423,9364.42849381933,2020-09-12,551,9317,9646.17636062355
"13",13,275234.119266903,298.160827927844,9384.71990516888,2020-09-13,591,9324,9682.88073309672
"14",14,275195.282380741,315.524430829363,9406.19318842954,2020-09-14,615,9331,9721.7176192589
"15",15,275154.19014709,333.89307841814,9428.91677449211,2020-09-15,632,9337,9762.80985291025
"16",16,275110.712782725,353.324208687315,9452.96300858795,2020-09-16,668,9363,9806.28721727526
"17",17,275064.713178741,373.878453839038,9478.40836741975,2020-09-17,674,9378,9852.28682125879
"18",18,275016.046504056,395.619807314158,9505.33368862974,2020-09-18,754,9393,9900.9534959439
"19",19,274964.559789353,418.615798330699,9533.82441231649,2020-09-19,722,9445,9952.44021064719
"20",20,274910.091491691,442.937673726918,9563.97083458156,2020-09-20,734,9485,10006.9085083085
"21",21,274852.471037951,468.66058770893,9595.86837433956,2020-09-21,751,9525,10064.5289620485
"22",22,274791.518346656,495.863799536775,9629.61785380717,2020-09-22,665,9693,10125.4816533439
"23",23,274727.043327874,524.630879105731,9665.3257930198,2020-09-23,770,9735,10189.9566721255
"24",24,274658.845360506,555.049920510044,9703.10471898366,2020-09-24,777,9799,10258.1546394937
"25",25,274586.712746285,587.213763636075,9743.07349007834,2020-09-25,858,9829,10330.2872537144
"26",26,274510.422140013,621.220223736127,9785.35763625097,2020-09-26,851,9918,10406.5778599871
"27",27,274429.737955553,657.172328889564,9830.08971555728,2020-09-27,950,9969,10487.2620444468
"28",28,274344.41174721,695.178565192944,9877.40968759676,2020-09-28,1011,10023,10572.5882527897
"29",29,274254.18156618,735.35312944517,9927.46530437491,2020-09-29,1062,10073,10662.8184338201
"30",30,274158.771291885,777.81618900798,9980.41251910677,2020-09-30,1121,10103,10758.2287081147
"31",31,274057.889938126,822.694148424045,10036.4159134499,2020-10-01,1334,10150,10859.110061874
"32",32,273951.230934114,870.119922263828,10095.6491436224,2020-10-02,1540,10231,10965.7690658862
"33",33,273838.471380634,920.233213546831,10158.2954058186,2020-10-03,1735,10353,11078.5286193654
"34",34,273719.27128177,973.180796941456,10224.547921288,2020-10-04,1961,10420,11197.7287182294
"35",35,273593.272752834,1029.11680578902,10294.6104413767,2020-10-05,2336,10477,11323.7272471657
"36",36,273460.099205417,1088.20302182001,10368.697772763,2020-10-06,2936,10568,11456.900794583
"37",37,273319.354510739,1150.60916623253,10447.0363230282,2020-10-07,3351,10642,11597.6454892607
"38",38,273170.622142814,1216.51319056738,10529.8646666184,2020-10-08,3703,10665,11746.3778571858
"39",39,273013.464303183,1286.10156562757,10617.4341311894,2020-10-09,3863,10859,11903.535696817
"40",40,272847.421029851,1359.56956636479,10710.0094037844,2020-10-10,4161,10935,12069.5789701492
"41",41,272672.00929286,1437.12155032679,10807.8691568135,2020-10-11,4587,11070,12244.9907071403
"42",42,272486.722079412,1518.97122703184,10911.3066935563,2020-10-12,5039,11181,12430.2779205882
"43",43,272291.027472905,1605.34191521759,11020.6306118771,2020-10-13,5345,11535,12625.9725270946
"44",44,272084.367730086,1696.46678453675,11136.1654853774,2020-10-14,5768,11772,12832.6322699141
"45",45,271866.158361282,1792.58907785371,11258.2525608642,2020-10-15,5945,12184,13050.8416387179
"46",46,271635.787219581,1893.96230984253,11387.2504705766,2020-10-16,6323,12435,13281.2127804192
"47",47,271392.613605553,2000.85043709902,11523.5359573482,2020-10-17,6886,12741,13524.3863944472
"48",48,271135.967395017,2113.52799445764,11667.5046105254,2020-10-18,7049,13449,13781.032604983
"49",49,270865.148198274,2232.28019164803,11819.5716100773,2020-10-19,7456,13907,14051.8518017254
"50",50,270579.424560266,2357.40296383756,11980.172475896,2020-10-20,7681,14544,14337.5754397335
"51",51,270278.033212196,2489.20296898735,12149.7638188165,2020-10-21,7827,15130,14638.9667878039
"52",52,269960.178386329,2627.99752430346,12328.8240893675,2020-10-22,8183,15621,14956.821613671
"53",53,269625.031206906,2774.11447339503,12517.8543196987,2020-10-23,8416,16098,15291.9687930937
"54",54,269271.729171413,2927.89197506581,12717.3788535215,2020-10-24,8966,16776,15645.2708285873
"55",55,268899.375737793,3089.67820396783,12927.9460582395,2020-10-25,9202,17363,16017.6242622073
"56",56,268507.040033281,3259.83095368332,13150.1290130359,2020-10-26,9744,18061,16409.9599667193
"57",57,268093.75670758,3438.71712765213,13384.5261647678,2020-10-27,9903,18737,16823.2432924199
"58",58,267658.525947842,3626.71210837324,13631.7619437845,2020-10-28,10123,19318,17258.4740521577
"59",59,267200.313670999,3824.19899659916,13892.4873324015,2020-10-29,10087,20003,17716.6863290007
"60",60,266718.051924367,4031.56770134781,14167.3803742853,2020-10-30,10392,20497,18198.9480756331
"61",61,266210.639517493,4249.21386830008,14457.1466142072,2020-10-31,10051,21497,18706.3604825073
"62",62,265676.942908219,4477.53763469109,14762.5194570898,2020-11-01,10036,22469,19240.0570917809
"63",63,265115.797370176,4716.94219628497,15084.2604335387,2020-11-02,9968,23371,19801.2026298237
"64",64,264526.008470711,4967.83217150933,15423.1593577799,2020-11-03,10135,24258,20390.9915292892
"65",65,263906.353887168,5230.61174922134,15780.0343636106,2020-11-04,10339,25086,21010.6461128319
"66",66,263255.585590148,5505.68260682598,16155.731803026,2020-11-05,10503,25931,21661.414409852
"67",67,262572.432424095,5793.44158540902,16551.1259904963,2020-11-06,11530,26659,22344.5675759053
"68",68,261855.603114082,6094.27811024658,16967.1187756718,2020-11-07,11666,27691,23061.3968859183
"69",69,261103.789727622,6408.57134615968,17404.6389262187,2020-11-08,11689,28520,23813.2102723784
"70",70,260315.671618605,6736.68707931656,17864.6413020786,2020-11-09,11308,29873,24601.3283813952
"71",71,259489.919879184,7078.97431912881,18348.1058016873,2020-11-10,11446,30604,25427.0801208161
"72",72,258625.202322781,7435.76161681434,18856.0360604048,2020-11-11,11497,31375,26291.7976772191
"73",73,257720.189018038,7807.35310063963,19389.4578813227,2020-11-12,11419,32372,27196.8109819623
"74",74,256773.558389427,8194.0242318489,19949.4173787239,2020-11-13,11822,33273,28143.4416105728
"75",75,255784.003895141,8596.01728993901,20536.9788149197,2020-11-14,12131,34078,29132.9961048587
"76",76,254750.241286797,9013.53660122923,21153.2221119738,2020-11-15,12323,35094,30166.758713203
"77",77,253671.016448384,9446.74353061364,21799.2400210026,2020-11-16,12601,35919,31245.9835516162
"78",78,252545.113803685,9895.75126295337,22476.1349333613,2020-11-17,12788,36942,32371.8861963146
"79",79,251371.365272152,10360.6194077246,23185.0153201231,2020-11-18,12814,37576,33545.6347278478
"80",80,250148.659742896,10841.3484682243,23926.9917888796,2020-11-19,13222,38458,34768.3402571039
"81",81,248875.953025186,11337.8742247528,24703.1727500614,2020-11-20,13221,39417,36041.0469748142
"82",82,247552.278221645,11850.0620896211,25514.6596887337,2020-11-21,12854,40825,37364.7217783547
"83",83,246176.756457428,12377.7015004041,26362.5420421679,2020-11-22,12843,41932,38740.243542572
"84",84,244748.607885164,12920.500426394,27247.8916884419,2020-11-23,13842,42817,40168.392114836
"85",85,243267.162871677,13478.0800714657,28171.7570568572,2020-11-24,14353,44494,41649.8371283229
"86",86,241731.873258648,14049.9698642893,29135.1568770624,2020-11-25,12971,46846,43185.1267413517
"87",87,240142.323575898,14635.6028337183,30139.0735903839,2020-11-26,11348,49404,44774.6764241022
"88",88,238498.242073149,15234.311472929,31184.446453922,2020-11-27,11307,50554,46418.7579268509
